Case UPC,Client,Item UPC,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
25754,HOSTFZN,,42/1 EA,HOSTESS RWB SS FLOORSTAND,,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,42
25767,HOSTFZN,25765,6/6/2.7 OZ,HOSTESS CHOC LVR TWINKIES,LP404325,HST SS 6CT 6PK,SBS HST,36
25769,HOSTFZN,25584,6/13.58 OZ,HOSTESS CHOC LVR TWINKIES,LP403991,MULTI PACK 6 PK,SBS HST,6
25806,HOSTFZN,25759,6/21 OZ,HOSTESS PWDRD DNT OTG FP,LP404633,HST DONETTES FAM PK,SBS HST,6
25807,HOSTFZN,25761,6/21 OZ,HOSTESS FRSTD DNT OTG FP,LP404633,HST DONETTES FAM PK,SBS HST,6
25823,HOSTFZN,15002,9/10.75 OZ,HST CHOC MN DNT BG DRC,LP403937,HST DONETTES 9/6 CT,SBS HST,9
25826,HOSTFZN,,144/1 EA,HOSTESS BD DNT DRC HLF PL,,SHIPPER/DISPLAYS/PALLETS CORE,SBS HST,144
25833,HOSTFZN,,72/1 EA,HOSTESS BD DRC QTR PALLET,,SHIPPER/DISPLAYS/PALLETS CORE,SBS HST,72
25851,HOSTFZN,25850,6/8.17 OZ,HOSTESS MINI CHOC CUPCKES,LP404750,HST SS 6CT 2PK,SBS HST,6
25855,HOSTFZN,25853,6/8/2.04 OZ,HOSTESS MINI CUPCAKES SS,LP404714,HST SS 6CT 3PK,SBS HST,48
25859,HOSTFZN,25858,6/10.36 OZ,HOSTESS APL FRTR RNG DNTS,LP404733,MULTI PACK 6 PK,SBS HST,6
25863,HOSTFZN,25861,6/6/3.45 OZ,HOSTESS APL FRT RNG DNT,,HST SS 6CT 6PK,SBS HST,36
25874,HOSTFZN,25871,6/17.49 OZ,HOSTESS PWDR DNT SHARE SZ,LP404755,DONETTES 6/17.49 OZ SHARE SIZE,SBS HST,6
25879,HOSTFZN,,48/1 EA,HOSTESS FALL CAKE SHIPPER,LP404621,SHIPPER/DISPLAYS/PALLETS CORE,SBS HST,48
25902,HOSTFZN,25901,6/11.57 OZ,HOSTESS FRANKENCAKES,LP404632,HST LTO 8 CT,SBS HST,6
25905,HOSTFZN,,48/1 EA,HOSTESS HLWN MP SHIPPER,LP404624,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,48
25909,HOSTFZN,25908,6/22.22 OZ,HOSTESS SCARYCAKES FZ,LP404668,HST LTO 14PK,SBS HST,6
25911,HOSTFZN,25912,6/20.25 OZ,HOSTESS FRANKENCAKES FZ,LP404668,HST LTO 14PK,SBS HST,6
25918,HOSTFZN,25917,6/21.73 OZ,HOSTESS SPOOKY TWNKS FZ,,HST LTO 16PK,SBS HST,6
25940,HOSTFZN,25935,6/8 OZ,HST HLDY HOHOS MP FZN,LP404008,HST LTO 8 CT,SBS HST,6
25941,HOSTFZN,25937,6/10.5 OZ,HOSTESS HLDY SNOWBALL MP,LP404048,MULTI PACK LTO 6 PK,SBS HST,6
25942,HOSTFZN,25939,6/12.7 OZ,HST HLDY CHOC CP CK MP,LP404689,HST LTO 8 CT,SBS HST,6
25950,HOSTFZN,,52/1 EA,HST LTO HLDY MP SHP FZN,LP404676,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,52
25959,HOSTFZN,,28/1 EA,HOSTESS FRTR SS CNT DSP,LP404751,SHIPPER/DISPLAYS/PALLETS CORE,SBS HST,28
25979,HOSTFZN,,28/1 EA,HOSTESS MNI CPCK CNTR UNT,LP404764,SHIPPER/DISPLAYS/PALLETS CORE,SBS HST,28
25995,HOSTFZN,25994,6/13.5 OZ,HST ORANGE CRM CUPCAKE MP,LP404025,MULTI PACK 6 PK,SBS HST,6
26000,HOSTFZN,25999,6/13.1 OZ,HST SUNDAE CPCK MP 8CT,LP404025,MULTI PACK 6 PK,SBS HST,6
26007,HOSTFZN,26008,6/10.86 OZ,HOSTESS STRWBRRY TWINKIE,LP404100,MULTI PACK 6 PK,SBS HST,6
38297,HOSTFZN,82580,6/8.17 OZ,HOSTESS VLNTNE CPCK MINIS,,MULTI PACK LTO 6 PK,SBS HST,6
67658,HOSTFZN,81744,6/13 OZ,HOSTESS SUZY Q MP FZ,LP404881,MULTI PACK 6 PK,SBS HST,6
74778,HOSTFZN,81448,6/12.7 OZ,HOSTESS WCKD GLINDA CPCKE,,HST LTO 8 CT,SBS HST,6
77810,HOSTFZN,48180,6/12.7 OZ,HOSTESS WCKD ELPHABA CPCK,LP404925,HST LTO 8 CT,SBS HST,6
